French,Tamazight_Kabyle,LLM_Translation,BLEU_Score,CER
Venez !,Yyaw !,Aset-ed!,0.0,1.5
Avancez !,Aẓet !,Qedmet!,0.0,1.0
Descends !,Ṣubbed !,Ader !,0.0,0.8333333333333334
File !,Ruḥ !,Ṛuḥ !,0.0,0.3333333333333333
Filez !,Ruḥet !,Ṛuḥet!,0.0,0.2
Travaillons !,Yyaw ad neqdec !,A nexdem !,0.0,0.5714285714285714
Le voilà.,Atan.,Atan.,0.1778279410038923,0.0
À plus.,Taswiɛt.,Ar ticki.,0.0,1.0
Travaillez-vous ?,Txedmeḍ ?,Txeddmem?,0.0,0.2857142857142857
Parle distinctement.,Sefhem iman-ik.,Ssiwel s lbezz.,0.0,0.8461538461538461
Elle marche.,Ad tleḥḥu,Tetteddu.,0.0,0.6666666666666666
Elle marche.,Ad tetteddu.,Tleḥḥu.,0.0,0.7272727272727273
Ça ira.,Kullec ad iɛeddi.,Ad yelhu.,0.09069748827745895,0.75
La voilà !,Attan !,A-tt-an!,0.1778279410038923,0.0
Descendons ici.,Yyaw ad nṣub saygi.,A n-subb dagi.,0.0,0.5555555555555556
Allons marcher.,Yyaw ad nelḥu.,Aya ad nelḥu.,0.24028114141347542,0.15384615384615385
Il partit.,Iruḥ.,Iruḥ.,0.1778279410038923,0.0
Bien cuit !,Yebba akken yelha !,Yewwa mliḥ!,0.0,0.7058823529411765
Ferme-la !,Susem axir !,Belɛ-itt!,0.0,0.9
Ferme-la !,Ṭṭef axenfuc-ik !,Belɛ-itt!,0.0,0.9285714285714286
Après vous.,Deffir nwen.,Zwiret-d,0.0,0.8181818181818182
Il court.,Ittazzal.,Yettazzal.,0.0,0.25
Allons déjeuner.,Kker ad nefteṛ.,Aya ad nečč imekli.,0.08034284189446518,0.8571428571428571
Ben voyons !,Muqel san !,Ihi !,0.0,1.0
Me voici.,Aqli da.,Aql-iyi.,0.0,0.42857142857142855
Tais-toi !,Ṭṭef axenfuc-ik !,Ssusem!,0.0,0.9285714285714286
Tais-toi !,Ṭṭef axenfuc-im !,Ssusem!,0.0,0.8571428571428571
Oubliez-le !,Ttut-tt !,Ttut-t !,0.0,0.16666666666666666
Passe devant !,Ɛeddi ɣer zdat !,Zwir zdat!,0.09069748827745895,0.5
Oh non !,Oh yaa !,Ayyaw !,0.0,0.6666666666666666
Je paierai.,Ad xelṣeɣ.,Ad xelseɣ.,0.1495348781221221,0.1111111111111111
Échauffe-toi !,Seḥmu iman-ik !,Sseḥmu iman-ik!,0.1495348781221221,0.08333333333333333
Échauffez-vous !,Heggit iman-nwen !,Sseḥmut iman-nwen!,0.1495348781221221,0.3333333333333333
Échauffez-vous !,Seḥmut iman-nwen !,Sseḥmut!,0.0,0.6666666666666666
Arrête ça !,Ahasan dayen !,Ḥbes aya !,0.0,0.6666666666666666
Sauve-toi !,Rwel !,Sellek iman-ik !,0.0,3.0
Recule-toi !,Uɣal ɣer deffir !,Wexxer!,0.0,0.8
Reculez-vous !,Uɣalet ɣer deffir !,Wexxret!,0.0,0.8235294117647058
Soyez calme !,Ur ttagadet ara !,Serset iman-nwen!,0.0,0.9333333333333333
Soyez calme !,Ur tqelliqet ara !,Hdut!,0.0,0.9375
Sois juste !,Ilik d aḥeqqani !,Ili d uɣdim!,0.11362193664674995,0.6
Sois équitable !,Ilik d aḥeqqani !,Ili-k d aḥeqqi!,0.24028114141347542,0.13333333333333333
Dis-moi !,Iniyi-d !,Ini-yi-d!,0.1778279410038923,0.0
Prenez-le !,Awit-tt !,Awit-t!,0.0,0.16666666666666666
Garde-le !,Anef-as ɣur-ek !,Ḥrez-it!,0.0,0.9166666666666666
Montre-moi !,Sken-iyi-d !,Sken-iyi!,0.0,0.125
Montrez-moi !,Skenet-iyi-d !,Sknet-iyi-d!,0.0,0.1
Approchez.,Aẓet-d.,Qerbet-d.,0.0,0.8
Je pars.,Ad ruḥeɣ.,Ad ṛuḥeɣ.,0.1495348781221221,0.125
Vas-y !,Aha-san !,Ruh!,0.0,1.0
Sans problème.,Ulac aɣbel.,Bla ugur.,0.0,0.7
Laisse-nous !,Eǧǧ-aɣ,Eǧǧ-aɣ.,0.1778279410038923,0.0
Laissez-nous !,Ǧǧet-aɣ !,Eǧǧet-aɣ !,0.0,0.16666666666666666
Regarde-nous !,Muql-aɣ-d !,Muqel-aɣ !,0.0,0.2857142857142857
Qui vient ?,Anwa ad d-yasen ?,Anwa i d-iteddun?,0.11362193664674995,0.5714285714285714
Nous irons.,Ad nruḥ.,Ad nṛuḥ.,0.1495348781221221,0.14285714285714285
Nettoyez-le.,Ṣfeḍet-tt.,Sizdget-t,0.0,0.75
Nettoie-le.,Ṣfeḍ-it.,Sizdeg-it.,0.0,0.8333333333333334
Nettoyez ça.,Ṣfeḍet wagi.,Sizdget aya.,0.0,0.7272727272727273
Regardez ça.,Walit wagi.,Muqlet aya.,0.0,0.7
Asseyons-nous.,Yyaw ad neqqim.,A n-qqim.,0.0,0.5
J'écoute.,Selleɣ.,Selleɣ,0.1778279410038923,0.0
Redresse-toi.,Seqɛed iman-ik.,Ssemsawi iman-ik.,0.1495348781221221,0.46153846153846156
Maman pleurait.,Yemma tettru.,Yemma tettru.,0.316227766016838,0.0
J'aiderai.,Ad ɛiwneɣ.,Ad εiwneɣ.,0.1495348781221221,0.1111111111111111
Je chanterai.,Ad cnuɣ.,Ad ccnuɣ.,0.1495348781221221,0.14285714285714285
Tu commences.,Kečč tebdiḍ.,Tebdid,0.0,0.5454545454545454
Vous commencez.,Kunwi tebdam.,Tebeddum.,0.0,0.75
"Toi, conduis !","Kečč, selḥu.","Kečč, nher!",0.1495348781221221,0.5
Prépare-toi.,Heggi iman-ik.,Heggi iman-ik.,0.316227766016838,0.0
Préparez-vous.,Heggit iman-nwen.,Heggit iman-nwen.,0.316227766016838,0.0
Embrassons-nous.,Yyaw ad nemsudan.,A n-msuden.,0.0,0.5
Nous obéirons.,Nukni ad naɣ awal.,Ad naɣ awal.,0.40293516672844226,0.35294117647058826
Tom reste.,Tom ad yeqqim.,Tom yeqqim.,0.10785809837243004,0.23076923076923078
Pourquoi demandes-tu ?,Ayɣer tseqsayeḍ ?,Ayɣer i testeqsayeḍ?,0.11362193664674995,0.26666666666666666
Je le prends.,Ad t-ddmeɣ.,Tteddmeɣ-t.,0.0,0.5555555555555556
Il fait froid.,Semmeḍ lḥal.,Isemmeḍ lḥal.,0.1495348781221221,0.09090909090909091
J'aime courir.,Ḥemmleɣ ad azzleɣ.,Ḥemmleɣ tazzla.,0.09069748827745895,0.29411764705882354
J'utilise cela.,Seqdaceɣ ayagi.,Sseqdaceɣ aya.,0.0,0.21428571428571427
Il est ici !,Atan dagi !,Atan dagi!,0.316227766016838,0.0
Regarde cette maison.,Wali axxam-agi.,Muqel axxam-agi.,0.1495348781221221,0.38461538461538464
Regarde les filles.,Wali tiḥdayin.,Muqel tullas.,0.0,0.8461538461538461
Ne partez pas.,Ur ttruḥut ara.,Ur tteddut ara.,0.13512001548070346,0.21428571428571427
Ça sent bon !,Yettriḥi d aẓidan !,Teffeɣ-d rriḥa n lɛali!,0.0,0.9411764705882353
Attention aux pickpockets.,Γurwat imakaren.,Ɣur-wat imakaren n yiceryanen.,0.08034284189446518,0.9333333333333333
C'est surprenant.,D yewhayem.,D ayen issewhamen.,0.11362193664674995,0.9
Il pleut encore.,Mazal yekkat ugeffur.,Mazal la d-yekkat ugeffur.,0.09554427922043669,0.2
Sais-tu conduire ?,Tessneḍ ad tnehreḍ ?,Tessneḍ ad tnehreḍ?,0.5623413251903491,0.0
Je suis fauché.,Ur sɛiɣ ula duru.,Qqureɣ.,0.0,0.9375
Je parle anglais.,Ttmeslayeɣ taglizit.,Ttmeslayeɣ taglizit.,0.316227766016838,0.0
Il nage bien.,Yessen ad iɛum.,Yettɛumu mliḥ.,0.0,0.7857142857142857
Je suis Japonais.,Nekk d ajapunit.,D ajapuni.,0.09069748827745895,0.4
Il neigera demain.,Ad yewwet azekka udeffel.,Ad d-yewwet udfel azekka.,0.09554427922043669,0.5416666666666666
C'est secret.,D sser.,D sser.,0.316227766016838,0.0
Laisse-moi essayer.,Ǧǧet-iyi ad ɛerḍeɣ.,Eǧǧ-iyi ad ɛerḍeɣ.,0.24028114141347542,0.17647058823529413
Je suis triste.,Ḥezneɣ.,Ḥzneɣ,0.0,0.16666666666666666
Dix jours passèrent.,Ɛeddan mraw ussan.,Ɛeddan mraw n wussan.,0.16990442448471224,0.17647058823529413
Je suis divorcé.,Nekk briɣ.,Berrɣ,0.0,0.6666666666666666
Que chacun balaye devant sa porte et le monde entier sera propre.,Yal wa ad iḍumm zdat n uxxam-is sakin amaḍal meṛṛa ad yizdig.,"Yal yiwen ad ifreḍ zdat n tewwurt-is, ddunit meṛṛa ad tizdig.",0.05696822651325549,0.4576271186440678
Nous allons à la maison.,Ad neddu s axxam.,Ntteddu ɣer uxxam.,0.0,0.5
Nous rentrons à la maison.,Ad neqqim deg uxxam,Nettuɣal s axxam.,0.0,0.631578947368421
La serveuse apporte la bière.,Taqeddact tewwi-d lbira.,Taqeddact tettawi-d tabira.,0.11362193664674995,0.22727272727272727
C'est simple comme bonjour.,Fessus am azul.,Shel am waman.,0.11362193664674995,0.6428571428571429
Chacun n'entend que ce qu'il comprend.,Yal wa isell ayen yegza.,Yal yiwen ur isell anagar ayen i d-yegza.,0.03655552228545124,0.7391304347826086
Je vis selon mes propres règles.,Ttidireɣ s yilugan-iw.,Ttidireɣ s yilugan n yiman-iw.,0.11362193664674995,0.4
Seul le temps le dira.,Ala akud ara t-id-yinin.,Ala lweqt ara d-yinin.,0.09554427922043669,0.3333333333333333
Je déteste la pluie.,Ɣucceɣ ageffur.,Kṛeɣ ageffur.,0.1495348781221221,0.2857142857142857
Donnez-moi un kilo de pêches.,Mudd-iyi-d kilu n lxux.,Fket-iyi-d lkilu n lexux.,0.08034284189446518,0.3
Je n'ai pas reçu d'e-mail aujourd'hui.,Ur d-rmiseɣ ara imayl ass-a.,Ur d-wwiɣ ara imayl assa.,0.28574404296988,0.16
Est-il vrai que Tom a changé son nom ?,S tidet Tom ibeddel isem?,D tidet belli Tom ibeddel isem-is?,0.09554427922043669,0.375
Est-il vrai que Tom ne sait pas nager ?,S tidet Tom ur yessin ara ad iɛum?,D tidet belli Tom ur yessin ara ad iɛum?,0.6104735835807844,0.21212121212121213
Les phrases idiomatiques sont très difficiles à traduire.,Inzan weɛrit i tsuqilt.,Tinfaliyin n tmenna waɛrit nezzeh i usuɣel.,0.033031643180138064,1.2272727272727273
Elle ne sait rien.,Ur tessin kra.,Ur tessin acemma.,0.24028114141347542,0.38461538461538464
Elles ne savent rien.,Ur ssinent kra.,Ur snent acemma.,0.11362193664674995,0.5
Il ne sait rien.,Ur yessin kra.,Ur yessin acemma.,0.24028114141347542,0.38461538461538464
Ils ne savent rien.,Ur ssinen kra.,Ur ssnen acemma.,0.11362193664674995,0.46153846153846156
La conversation retourne toujours au même sujet.,Awal itezzi kan ɣef yiwen n usentel.,Ameslay dima ituɣal ɣer yiwen n usentel.,0.16348126556655487,0.42857142857142855
Son vrai nom est Lisa.,Isem-is n tidet d Lisa.,Isem-is n tidet d Lisa.,1.0,0.0
Il est rouge.,D azeggaɣ.,D azeggaɣ.,0.316227766016838,0.0
Je suis en Égypte.,Aql-i di Maseṛ.,Lliɣ di Maṣer.,0.11362193664674995,0.38461538461538464
Merci de nous permettre de rester ici.,Tanemmirt imi i aɣ-teǧǧiḍ ad neqqim dagi.,Tanmirt imi i ɣ-teǧǧid ad neqqim dagi.,0.20556680845025987,0.10256410256410256
J'ai passé une merveilleuse soirée.,Sɛeddaɣ tameddit yelhan mliḥ.,Zriɣ yiwet n tmeddit tameɣrezt.,0.0,0.8571428571428571
J'aimerais une pomme.,Bɣiɣ tateffaḥt.,Bɣiɣ taffuḥt.,0.1495348781221221,0.21428571428571427
Il est mort depuis dix ans.,Yemmut sin n iseggasen-aya.,Yemmut aya d mraw n iseggasen.,0.048549177170732344,0.52
Il s'est construit une nouvelle maison.,Yebna i yiman-is axxam amaynut.,Ibna-d axxam amaynut.,0.12336445138236939,0.41379310344827586
Donne le pistolet à Tom.,Efk-as taḥeṛṛast-nni i Ṭom.,Efk pistolet i Tom.,0.08034284189446518,0.5833333333333334
Va attendre dans la voiture.,Ṛuḥ ṛaju deg tkeṛṛust.,Ruh ṛǧu deg tkarust.,0.08034284189446518,0.3333333333333333
La ville a été fondée en 573.,Ttettwabna temdint-nni aseggas n 573.,Tamdint tennulfa-d deg 573.,0.06257106818159155,0.6571428571428571
Soyez content !,Feṛḥet!,Ferḥet !,0.0,0.16666666666666666
Sois content !,Fṛeḥ!,Fṛeḥ!,0.1778279410038923,0.0
Je passe du bon temps.,Sɛeddayeɣ lweqt yelhan.,Sɛeddayeɣ lweqt yelhan.,0.5623413251903491,0.0
La boite n'est pas vide.,Mačči d tilemt tbewwaṭ-nni.,Tanaka mačči d tilemt.,0.3976353643835253,0.72
Ils étaient tous ici.,Llan meṛṛa da.,Llan akk dagi.,0.11362193664674995,0.5384615384615384
Elles étaient toutes ici.,Llant meṛṛa da.,Llant akk dagi.,0.11362193664674995,0.5
J'ai demandé une autre bière au barman.,Sutreɣ-as tabyirt-nniḍen i ubarman.,Sutreɣ tayeḍ n lbiṛa i ubarmann.,0.040824829046386304,0.40625
Mes amis ont fait ça sans moi.,Xedmen yemdukal-iw annect-a mebla nekki.,Imdukkal-iw xedmen aya mebla nekki.,0.12574334296829354,0.4864864864864865
Nous avons déjà essayé cela.,Neɛṛeḍ yakkan wa.,Njerreb ayagi yakan.,0.0,0.75
As-tu trouvé un remède ?,Tufiḍ-d ddwa?,Tufid asafar?,0.0,0.5454545454545454
Est-ce que le café est chaud ?,Teḥma lqahwa-nni?,Teḥma lqahwa?,0.1495348781221221,0.2
Est-ce que tes parents sont avec toi ?,Llan yid-k yimawlan-ik?,Imawlan-ik llan yid-ek?,0.11362193664674995,0.8
Es-tu blessé ?,Tjerḥeḍ-d?,Tejreḥḍ?,0.0,0.625
Êtes-vous blessé ?,Tjerḥem-d?,Tejreḥeḍ?,0.0,0.625
"En dessert, je prends une banane.",Ad ččeɣ tabanant d asegru.,"I ddessir, ad d-ddmeɣ tabanant.",0.06389431042462725,0.92
Marie a fait des crêpes aujourd'hui.,Texdem-d Marie tiɣṛifin ass-a.,Marie texdem tiɣrifin ass-a.,0.09554427922043669,0.4444444444444444
Montrez-moi ce livre !,Seknet-iyi-d adlis-a !,Sken-iyi-d adlis-agi!,0.0,0.29411764705882354
De qui les enfants ont-ils peur ?,Anwa i ugaden warrac-nni ?,Anwa i seg ttagaden warrac?,0.11362193664674995,0.43478260869565216
Tom ne doit pas rire.,Ur ilaq ara ad d-iḍes Tom.,Tom ur ilaq ara ad yeḍs.,0.537284965911771,0.4583333333333333
De quoi parlez-vous ?,Ɣef wacu i theddṛem?,Ɣef wacu i tettmeslayem?,0.3976353643835253,0.42105263157894735
Tom a trouvé un stylo.,Yufa Tom astilu.,Tom yufa imru.,0.13512001548070346,0.8
Laisse le chien dehors !,Eǧǧ aqjun-nni deg beṛṛa !,Eǧǧ aqjun beṛṛa!,0.09681772177713914,0.3181818181818182
"Tu as une femme, non ?","Tesɛiḍ tameṭṭut, alla?","Tesɛiḍ tameṭṭut, naɣ?",0.24028114141347542,0.2
Le chien doit rester dehors !,Ilaq ad yeqqim deg beṛṛa weqjun-nni.,Aqjun ilaq ad yeqqim beṛṛa!,0.23394743548827707,0.5882352941176471
As-tu déjà vu un éléphant ?,Twalaḍ yakan ilu?,Twalid yakan yilu?,0.11362193664674995,0.1875
Une hirondelle vole au dessus du toit.,Tettferfir tfirellest nnig n ssqef.,Tifirellest tettafeg nnig usqef.,0.06257106818159155,0.5882352941176471
Toutes les filles riaient.,Ttaḍsant meṛṛa teqcicin-nni.,Tullas meṛṛa la tteḍṣant.,0.08034284189446518,0.6153846153846154
Tous les gars riaient.,Ttaḍsan meṛṛa warrac-nni.,Arrac meṛṛa ttḍaṣan.,0.11362193664674995,0.5217391304347826
Toutes les filles ont ri.,Ḍsant meṛṛa teqcicin-nni.,Tullas merra ḍsant.,0.11362193664674995,0.782608695652174
Traverse la rue.,Zger abrid!,Zger abrid.,0.316227766016838,0.0
Traversez la rue.,Zegret abrid!,Zegret abrid.,0.316227766016838,0.0
Le rideau se leva.,Yuli uridut.,Yuli usaber.,0.1495348781221221,0.45454545454545453
Il en faut plus.,Ilaq akter.,Ilaq ugar.,0.1495348781221221,0.4
L'espagnol est facile.,Teshel tespenyulit.,Taspenyult d tashalt.,0.0,0.8333333333333334
Marie est contente que l'été soit arrivé.,Tefṛeḥ Marie i mi d-yewweḍ unebdu.,Marie tefrah imi d-yusa unebdu.,0.05231223689135342,0.5
Je ne veux plus faire ça.,Ur bɣiɣ ara akka ad xedmeɣ annect-a.,Ur bɣiɣ ara ad rnuɣ ad xedmeɣ aya.,0.17286039232097053,0.3235294117647059
Nous n'avons pas le temps de faire cela maintenant.,Ur nesɛi ara lweqt ad nexdem annect-a tura.,Ur nesɛi ara lweqt iwakken ad nexdem aya tura.,0.36889397323344053,0.3170731707317073
Je ne m'attendais pas à ce que tu fasses ça.,Ur nwiɣ ara ad txedmeḍ annect-a.,Ur bniɣ ara ad tgeḍ aya.,0.09554427922043669,0.36666666666666664
Peux-tu me dire ce que ce symbole veut dire ?,Tzemreḍ ad yi-d-tiniḍ d acu i d anamek n wezmul-a?,Tzemreḍ ad iyi-d-tinid d acu i d anamek n uzamul-agi?,0.5814307369682193,0.15217391304347827
Puis-je prendre un bain ?,Zemreɣ ad ccfeɣ?,Zemreɣ ad ccuṛeɣ?,0.24028114141347542,0.13333333333333333
Nous nous sommes parlés en français.,Nemyehḍaṛ s tefransist.,Nemmeslay s tefransist.,0.24028114141347542,0.18181818181818182
Nous nous sommes parlées en français.,Nemyehḍaṛ s tefransist.,Nemselway s tefransist.,0.24028114141347542,0.18181818181818182
Tout cela va changer.,Ad ibeddel akk wannect-a.,Ayagi akk ad ibeddel.,0.1880301546543197,0.782608695652174
C'était trop dur.,Yuɛeṛ mliḥ.,Yewɛer bezzaf.,0.0,0.9
C'était trop difficile.,Yuɛeṛ mliḥ.,Yewɛer bezzaf.,0.0,0.9
