French,Tamazight_Kabyle,LLM_Translation
Regarde cette maison.,Wali axxam-agi.,Muqel axxam-agi.
Regarde les filles.,Wali tiḥdayin.,Muqel tullas.
Ne partez pas.,Ur ttruḥut ara.,Ur tteddut ara.
Ça sent bon !,Yettriḥi d aẓidan !,Teffeɣ-d rriḥa n lɛali!
Attention aux pickpockets.,Γurwat imakaren.,Ɣur-wat imakaren n yiceryanen.
C'est surprenant.,D yewhayem.,D ayen issewhamen.
Il pleut encore.,Mazal yekkat ugeffur.,Mazal la d-yekkat ugeffur.
Sais-tu conduire ?,Tessneḍ ad tnehreḍ ?,Tessneḍ ad tnehreḍ?
Je suis fauché.,Ur sɛiɣ ula duru.,Qqureɣ.
Je parle anglais.,Ttmeslayeɣ taglizit.,Ttmeslayeɣ taglizit.
Il nage bien.,Yessen ad iɛum.,Yettɛumu mliḥ.
Je suis Japonais.,Nekk d ajapunit.,D ajapuni.
Il neigera demain.,Ad yewwet azekka udeffel.,Ad d-yewwet udfel azekka.
C'est secret.,D sser.,D sser.
Laisse-moi essayer.,Ǧǧet-iyi ad ɛerḍeɣ.,Eǧǧ-iyi ad ɛerḍeɣ.
Je suis triste.,Ḥezneɣ.,Ḥzneɣ
Dix jours passèrent.,Ɛeddan mraw ussan.,Ɛeddan mraw n wussan.
Je suis divorcé.,Nekk briɣ.,Berrɣ
Que chacun balaye devant sa porte et le monde entier sera propre.,Yal wa ad iḍumm zdat n uxxam-is sakin amaḍal meṛṛa ad yizdig.,"Yal yiwen ad ifreḍ zdat n tewwurt-is, ddunit meṛṛa ad tizdig."
Nous allons à la maison.,Ad neddu s axxam.,Ntteddu ɣer uxxam.
Nous rentrons à la maison.,Ad neqqim deg uxxam,Nettuɣal s axxam.
La serveuse apporte la bière.,Taqeddact tewwi-d lbira.,Taqeddact tettawi-d tabira.
C'est simple comme bonjour.,Fessus am azul.,Shel am waman.
Chacun n'entend que ce qu'il comprend.,Yal wa isell ayen yegza.,Yal yiwen ur isell anagar ayen i d-yegza.
Je vis selon mes propres règles.,Ttidireɣ s yilugan-iw.,Ttidireɣ s yilugan n yiman-iw.
Seul le temps le dira.,Ala akud ara t-id-yinin.,Ala lweqt ara d-yinin.
Je déteste la pluie.,Ɣucceɣ ageffur.,Kṛeɣ ageffur.
Donnez-moi un kilo de pêches.,Mudd-iyi-d kilu n lxux.,Fket-iyi-d lkilu n lexux.
Je n'ai pas reçu d'e-mail aujourd'hui.,Ur d-rmiseɣ ara imayl ass-a.,Ur d-wwiɣ ara imayl assa.
Est-il vrai que Tom a changé son nom ?,S tidet Tom ibeddel isem?,D tidet belli Tom ibeddel isem-is?
Est-il vrai que Tom ne sait pas nager ?,S tidet Tom ur yessin ara ad iɛum?,D tidet belli Tom ur yessin ara ad iɛum?
Les phrases idiomatiques sont très difficiles à traduire.,Inzan weɛrit i tsuqilt.,Tinfaliyin n tmenna waɛrit nezzeh i usuɣel.
Elle ne sait rien.,Ur tessin kra.,Ur tessin acemma.
Elles ne savent rien.,Ur ssinent kra.,Ur snent acemma.
Il ne sait rien.,Ur yessin kra.,Ur yessin acemma.
Ils ne savent rien.,Ur ssinen kra.,Ur ssnen acemma.
La conversation retourne toujours au même sujet.,Awal itezzi kan ɣef yiwen n usentel.,Ameslay dima ituɣal ɣer yiwen n usentel.
Son vrai nom est Lisa.,Isem-is n tidet d Lisa.,Isem-is n tidet d Lisa.
Il est rouge.,D azeggaɣ.,D azeggaɣ.
Je suis en Égypte.,Aql-i di Maseṛ.,Lliɣ di Maṣer.
Merci de nous permettre de rester ici.,Tanemmirt imi i aɣ-teǧǧiḍ ad neqqim dagi.,Tanmirt imi i ɣ-teǧǧid ad neqqim dagi.
J'ai passé une merveilleuse soirée.,Sɛeddaɣ tameddit yelhan mliḥ.,Zriɣ yiwet n tmeddit tameɣrezt.
J'aimerais une pomme.,Bɣiɣ tateffaḥt.,Bɣiɣ taffuḥt.
Il est mort depuis dix ans.,Yemmut sin n iseggasen-aya.,Yemmut aya d mraw n iseggasen.
Il s'est construit une nouvelle maison.,Yebna i yiman-is axxam amaynut.,Ibna-d axxam amaynut.
Donne le pistolet à Tom.,Efk-as taḥeṛṛast-nni i Ṭom.,Efk pistolet i Tom.
Va attendre dans la voiture.,Ṛuḥ ṛaju deg tkeṛṛust.,Ruh ṛǧu deg tkarust.
La ville a été fondée en 573.,Ttettwabna temdint-nni aseggas n 573.,Tamdint tennulfa-d deg 573.
Soyez content !,Feṛḥet!,Ferḥet !
Sois content !,Fṛeḥ!,Fṛeḥ!
Je passe du bon temps.,Sɛeddayeɣ lweqt yelhan.,Sɛeddayeɣ lweqt yelhan.
La boite n'est pas vide.,Mačči d tilemt tbewwaṭ-nni.,Tanaka mačči d tilemt.
Ils étaient tous ici.,Llan meṛṛa da.,Llan akk dagi.
Elles étaient toutes ici.,Llant meṛṛa da.,Llant akk dagi.
J'ai demandé une autre bière au barman.,Sutreɣ-as tabyirt-nniḍen i ubarman.,Sutreɣ tayeḍ n lbiṛa i ubarmann.
Mes amis ont fait ça sans moi.,Xedmen yemdukal-iw annect-a mebla nekki.,Imdukkal-iw xedmen aya mebla nekki.
Nous avons déjà essayé cela.,Neɛṛeḍ yakkan wa.,Njerreb ayagi yakan.
As-tu trouvé un remède ?,Tufiḍ-d ddwa?,Tufid asafar?
Est-ce que le café est chaud ?,Teḥma lqahwa-nni?,Teḥma lqahwa?
Est-ce que tes parents sont avec toi ?,Llan yid-k yimawlan-ik?,Imawlan-ik llan yid-ek?
Es-tu blessé ?,Tjerḥeḍ-d?,Tejreḥḍ?
Êtes-vous blessé ?,Tjerḥem-d?,Tejreḥeḍ?
"En dessert, je prends une banane.",Ad ččeɣ tabanant d asegru.,"I ddessir, ad d-ddmeɣ tabanant."
Marie a fait des crêpes aujourd'hui.,Texdem-d Marie tiɣṛifin ass-a.,Marie texdem tiɣrifin ass-a.
Montrez-moi ce livre !,Seknet-iyi-d adlis-a !,Sken-iyi-d adlis-agi!
De qui les enfants ont-ils peur ?,Anwa i ugaden warrac-nni ?,Anwa i seg ttagaden warrac?
Tom ne doit pas rire.,Ur ilaq ara ad d-iḍes Tom.,Tom ur ilaq ara ad yeḍs.
De quoi parlez-vous ?,Ɣef wacu i theddṛem?,Ɣef wacu i tettmeslayem?
Tom a trouvé un stylo.,Yufa Tom astilu.,Tom yufa imru.
Laisse le chien dehors !,Eǧǧ aqjun-nni deg beṛṛa !,Eǧǧ aqjun beṛṛa!
"Tu as une femme, non ?","Tesɛiḍ tameṭṭut, alla?","Tesɛiḍ tameṭṭut, naɣ?"
Le chien doit rester dehors !,Ilaq ad yeqqim deg beṛṛa weqjun-nni.,Aqjun ilaq ad yeqqim beṛṛa!
As-tu déjà vu un éléphant ?,Twalaḍ yakan ilu?,Twalid yakan yilu?
Une hirondelle vole au dessus du toit.,Tettferfir tfirellest nnig n ssqef.,Tifirellest tettafeg nnig usqef.
Toutes les filles riaient.,Ttaḍsant meṛṛa teqcicin-nni.,Tullas meṛṛa la tteḍṣant.
Tous les gars riaient.,Ttaḍsan meṛṛa warrac-nni.,Arrac meṛṛa ttḍaṣan.
Toutes les filles ont ri.,Ḍsant meṛṛa teqcicin-nni.,Tullas merra ḍsant.
Traverse la rue.,Zger abrid!,Zger abrid.
Traversez la rue.,Zegret abrid!,Zegret abrid.
Le rideau se leva.,Yuli uridut.,Yuli usaber.
Il en faut plus.,Ilaq akter.,Ilaq ugar.
L'espagnol est facile.,Teshel tespenyulit.,Taspenyult d tashalt.
Marie est contente que l'été soit arrivé.,Tefṛeḥ Marie i mi d-yewweḍ unebdu.,Marie tefrah imi d-yusa unebdu.
Je ne veux plus faire ça.,Ur bɣiɣ ara akka ad xedmeɣ annect-a.,Ur bɣiɣ ara ad rnuɣ ad xedmeɣ aya.
Nous n'avons pas le temps de faire cela maintenant.,Ur nesɛi ara lweqt ad nexdem annect-a tura.,Ur nesɛi ara lweqt iwakken ad nexdem aya tura.
Je ne m'attendais pas à ce que tu fasses ça.,Ur nwiɣ ara ad txedmeḍ annect-a.,Ur bniɣ ara ad tgeḍ aya.
Peux-tu me dire ce que ce symbole veut dire ?,Tzemreḍ ad yi-d-tiniḍ d acu i d anamek n wezmul-a?,Tzemreḍ ad iyi-d-tinid d acu i d anamek n uzamul-agi?
Puis-je prendre un bain ?,Zemreɣ ad ccfeɣ?,Zemreɣ ad ccuṛeɣ?
Nous nous sommes parlés en français.,Nemyehḍaṛ s tefransist.,Nemmeslay s tefransist.
Nous nous sommes parlées en français.,Nemyehḍaṛ s tefransist.,Nemselway s tefransist.
Tout cela va changer.,Ad ibeddel akk wannect-a.,Ayagi akk ad ibeddel.
C'était trop dur.,Yuɛeṛ mliḥ.,Yewɛer bezzaf.
C'était trop difficile.,Yuɛeṛ mliḥ.,Yewɛer bezzaf.
L'anglais est parlé presque partout.,Tagnizit tettwahḍaṛ mesḥub di yal amkan.,Taglizit ttmeslayen-tt qrib yal amkan.
Nous devrions faire cela ensemble.,Ilaq ad nexdem annect-a lwaḥid.,Ilaq a nexdem aya lwaḥid.
Pouvez-vous me dire ce que ce symbole signifie ?,Tzemrem ad yi-d-tinim d acu i d anemek n wezmul-a?,Tzemreḍ a yi-d-tinid d acu i d-yebɣa ad d-yini uzamul-agi?
Tom a parlé politique toute la nuit avec ses amis.,Tom ihḍeṛ ɣef tsertit iḍ kamel akked yemdukal-is.,Tom imeslay ɣef tsertit iḍ meṛṛa d yimdukkal-is.
Tom n'a pas de buts dans la vie.,Ur isɛi ara Tom iswan deg tudert-is.,Tom ur yesɛi ara iswiyen di ddunit.
Je ne suis pas contre ton plan.,Ur lliɣ ara mgal aɣawas-inek.,Ur lliɣ ara mgal usenfar-ik.
Je ne ferais jamais de mal à un enfant.,D awezɣi ad xedmeɣ ayen n diri i weqcic,Werǧin ad geɣ ccer i weqcic.
Je le fais presque tous les jours.,Xeddmeɣ-t meḥsub yal ass.,Xeddmeɣ-t qrib yal ass.
Combien d'images as-tu achetées ?,Acḥal n tewlafin i d-tuɣeḍ?,Achḥal n tugniwin i d-teɣliḍ?
Tom te comprend maintenant.,Ifhem-ik-id Tom tura.,Tom ifhem-ik tura.
Je pourrais peut-être revenir demain.,Ahat zemreɣ ad d-qqleɣ azekka.,Ahat ad d-uɣaleɣ azekka.
Je veux savoir quand Tom sera de retour.,Bɣiɣ ad ẓṛeɣ melmi ara d-yuɣal Tom.,Bɣiɣ ad zreɣ melmi ara d-yuɣal Tom.
Je suis heureux pour toi.,Feṛḥeɣ-ak.,Ferḥeɣ fell-ak.
Tom laisse le jardin à l'abandon.,Yehmel Tom tibḥirt-nni.,Tom yeǧǧa lǧinan yehmel.
« Où allez-vous ? » « Au cinéma. »,"Anda ara tṛuḥem ? - ""Ar ssinimia. """,« Sanda i tetteddum ? » « Ar ssinima. »
J'achète quelques livres.,Ad d-aɣeɣ kra n yidlisen.,Ttaɣeɣ kra n yidlisen.
"Ok, Tom, ça suffit !","Ih a Tom, Dayen!","Ok, Tom, dayen !"
Ça n'a pas été facile à faire.,Ur ishil ara i uxeddim.,Ur ishil ara i wakken ad t-id-nga.
Sortez ! Je ne veux plus vous parler !,Ffɣet! Ur bɣiɣ ara ad heḍṛeɣ yid-wen!,Ffɣet! Ur bɣiɣ ara ad rnuɣ ad mmeslayeɣ yid-wen!
Sors ! Je ne veux plus te parler !,Ffeɣ! Ur bɣiɣ ara akk ad heḍṛeɣ yid-k!,Ffeɣ! Ur bɣiɣ ara ad k-meslayeɣ dayen!
Je suis heureux que tu aies pu nous rejoindre.,Feṛḥeɣ i mi tzemreḍ ad d-ternuḍ ɣuṛ-nneɣ.,Ferḥeɣ imi i tzemreḍ ad aɣ-d-ternuḍ.
Tu peux nous parler.,Tzemreḍ ad aɣ-d-theḍṛeḍ.,Tzemreḍ a ɣ-d-tmeslayeḍ.
J'ai besoin de savoir ce qu'a fait Tom hier.,Bɣiɣ ad ẓṛeɣ d acu i yexdem Tom iḍelli.,Ḥwaǧeɣ ad issineɣ ayen i gexdem Tom iḍelli.
Son nom est Tom.,Isem-is Tom,Isem-is d Tom.
Nous allons à la maison.,Ad nṛuḥ ar wexxam.,Nteddu s axxam.
Nous rentrons à la maison.,Ad nekcem ar wexxam.,Nettuɣal s axxam.
Chacun n'entend que ce qu'il comprend.,Yiwen ur isell ḥaca ayen i ifehhem.,Yal yiwen isell kan i wayen i yefhem.
Seul le temps le dira.,D lwaqt ara t-id-iseknen.,Ala lweqt ara d-yinin.
Je déteste la pluie.,Kerheɣ ageffur.,Kṛeɣ lehwa.
Je n'ai pas reçu d'e-mail aujourd'hui.,Ur yi-d-wwiḍen ara Imaylen ass-a.,Ur d-wwiɣ ara imayl assa.
Est-il vrai que Tom a changé son nom ?,Ɛni d tidet ibeddel Tom isem-is?,D tidet belli Tom ibeddel isem-is?
Est-il vrai que Tom ne sait pas nager ?,D tidet ur issin ara ad iɛumm Tom?,D tidet belli Tom ur yessin ara ad iɛum?
Je n'ai rien appris de nouveau.,Ulac akk kra nniḍen i d-lemdeɣ.,Ur lmiddeɣ acemma d amaynut.
Ne tirez pas avant mon ordre !,Ur kkatet ara uqbel ad wen-d-iniɣ!,Ur ttekkatet ara uqbel lameṛ-iw!
Faites comme chez vous !,Xedmet ayen tebɣam am akken deg uxxam-nwen i tellam!,Axxam d axxam-nwen.
Elles utilisent ce livre en classe d'espagnol.,Sexdamen adlis-a deg tneɣṛit n tespenyulit.,Sseqdacent adlis-agi di tneɣrit n tespanyulit.
Le train est arrivé à Londres.,Tewweḍ tmacint-nni ar Lundun.,Lmacina tewweḍ-d ɣer Lundun.
Que voulez-vous d'autre ?,D acu-nniḍen i tebɣiḍ?,D acu nniḍen i tebɣam?
Que voulez-vous d'autre ?,D acu daɣen i tebɣiḍ?,D acu nniḍen i tebɣam?
Tom ne peut entendre Marie.,Tom ur izmir ara ad s-isel i Marie.,Tom ur yezmir ara ad isel i Marie.
Tom ne peut entendre Marie.,Tom ur izmir ara ad s-iḥess i Marie.,Tom ur yezmir ara ad isel i Marie.
Je suis riche.,Nekk d ameṛkanti.,D ameṛkanti.
Il habite à New York.,Yezdeɣ deg New York.,Izeddeɣ di New York.
"Lève-toi et présente-toi, s'il te plait.","Kker fell-as, tessisneḍ-d iman-ik di leɛnaya-k!","Kker u ssen-ed iman-ik, di leɛnaya-k."
Combien as-tu de sœurs ? Combien as-tu de frères ?,Acḥal n tsetmatin i tesɛiḍ? Acḥal n watmaten i tesɛiḍ?,Achḥal n tsetma i tesɛiḍ? Achḥal n watmaten i tesɛiḍ?
Personne ne sait que je suis ici.,Yiwen ur iẓṛi belli da i lliɣ.,Yiwen ur yeẓri belli lliɣ dagi.
Personne ne sait que je suis ici.,Yiwen ur iɛlim belli aql-i da.,Yiwen ur yeẓri belli lliɣ dagi.
Tu m'as abandonné !,Teǧǧiḍ-iyi!,Teǧǧiḍ-iyi!
Tu m'as abandonnée !,Teǧǧid-iyi!,Teǧǧiḍ-iyi!
Layla s'est sentie abandonnée.,Layla tḥuss tettwahmel.,Layla tḥuss s yiman-is tettwaǧǧa.
Layla se sentit abandonnée.,Layla tettḥussu tettwahmel.,Layla tḥulfu s yiman-is d tin yeǧǧan.
Il est mort depuis dix ans.,Immut ɛecra iseggasen aya.,Yemmut aya d mraw n iseggasen.
Il s'est construit une nouvelle maison.,Ibna i yiman-is axxam amaynut.,Ibna-d axxam amaynut.
Va attendre dans la voiture.,Ṛuḥ rǧu deg tkeṛṛust.,Ruh arju deg tkarust.
Tom ne va pas regarder la télé.,Tom ur ittṛuḥu ara ad ifeṛṛeǧ tiliẓṛi.,Tom ur yettwali ara tiliwizyut.
